기간,품목코드,품목명,반입_금액(1000달러),반입_금액_증가율(퍼센트),반입_중량(kg),반입_중량_증가율(퍼센트),반출_금액(1000달러),반출_금액_증가율(퍼센트),반출_중량(kg),반축_중량_증가율(퍼센트),반출입_금액(1000달러),반출입_금액_증가율(퍼센트),반출입_중량(kg),반출입_중량_증가율(퍼센트)
1992,84,제84류 원자로·보일러와 기계류 및 이들의 부분품,1.246,-92.842,0,,21.509,7.949,0,,22.755,-39.048,0,
1992,85,"제85류 전기기기와 그 부분품, 녹음기와 음성재생기·텔레비젼의 영상 및 음성의 기록기와 재생기 및 이들의 부분품과 부속품",3.851,,0,,,,,,3.851,-99.098,0,
1992,88,제88류 항공기와 우주선 및 이들의 부분품,537.908,,38000,,,,,,537.908,,38000,
1992,92,제92류 악기 및 그 부분품과 부속품,,,,,5.05,,0,,5.05,,0,
1993,1,제1류 산 동물,227.28,,103299,,,,,,227.28,,103299,
1993,3,제3류 어류·갑각류·연체동물 및 기타 수생무척추동물,783.443,-83.962,1037108,-88.57,,,,,783.443,-83.962,1037108,-88.57
1993,4,제4류 낙농품·조란·천연꿀 및 다른 류에 분류되지 아니한 식용의 동물성 생산품,275.13,,3588,,,,,,275.13,,3588,
1993,5,제5류 다른 류에 분류되지 아니한 동물성 생산품,797.666,71.607,607027,465.149,,,,,797.666,71.607,607027,465.149
1993,7,제7류 식용의 채소·뿌리 및 괴경,1882.948,-42.26,713962,-89.464,,,,,1882.948,-43.378,713962,-90.819
1993,8,제8류 식용의 과실 및 견과류와 감귤류 또는 멜론의 껍질,3633.265,116.02,2164782,128.111,,,,,3633.265,116.02,2164782,128.111
1993,9,제9류 커피·차·마태 및 향신료,10.696,50.161,7995,-64.466,,,,,10.696,50.161,7995,-64.466
1993,10,제10류 곡물,114.732,,103000,,,,,,114.732,,103000,
1993,12,"제12류 채유용에 적합한 종자와 과실, 각종의 종자와 과실, 공업용 또는 의약용의 식물, 짚과 사료용 식물",1668.002,-64.112,738338,-58.297,6.351,,160,,1674.353,-63.975,738498,-58.288
